date,year,doy,tree_type,site,plot,plottag,species,dbh,kgc,basal_area
1998-07-09,1998,190,live,ems,D2,D2-583,rm,20.52,86.4,330.71
1998-07-09,1998,190,live,ems,E1,E1-677,hem,24.66,81.87,477.61
1998-07-09,1998,190,live,ems,E1,E1-678,hem,14.78,23.53,171.57
1998-07-09,1998,190,live,ems,E5,E5-876,hem,30.7,139.8,740.23
1998-07-09,1998,190,live,ems,E5,E5-880,ro,32.02,302.99,805.25
1998-07-09,1998,190,live,ems,E5,E5-889,hem,24.43,80.02,468.75
1998-07-09,1998,190,live,ems,E5,E5-892,rm,19.52,76.9,299.26
1998-07-09,1998,190,live,ems,E5,E5-893,hem,23.17,70.32,421.64
1998-07-09,1998,190,live,ems,E5,E5-895,rm,20.75,88.67,338.16
1998-07-09,1998,190,live,ems,E5,E5-903,ro,25.47,175.34,509.5
1998-07-09,1998,190,live,ems,E5,E5-905,hem,19.8,47.94,307.91
1998-07-09,1998,190,live,ems,F1,F1-933,rm,17.76,61.71,247.73
1998-07-09,1998,190,live,ems,G1,G1-153,rm,12.18,25.63,116.52
1998-07-09,1998,190,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-07-09,1998,190,live,ems,G1,G1-175,ro,26.33,189.82,544.49
1998-07-09,1998,190,live,ems,G1,G1-176,rm,14.36,37.61,161.96
1998-07-09,1998,190,live,ems,H1,H1-302,ro,36.89,424.99,1068.83
1998-07-09,1998,190,live,ems,H1,H1-309,ro,33.96,348.73,905.79
1998-07-09,1998,190,live,ems,H1,H1-318,rm,20.51,86.3,330.39
1998-07-15,1998,196,live,ems,C1,C1-217,hem,27.56,107.4,596.55
1998-07-15,1998,196,live,ems,C1,C1-351,hem,19.19,44.42,289.23
1998-07-15,1998,196,live,ems,C1,C1-356,ro,34.98,374.28,961.01
1998-07-15,1998,196,live,ems,C1,C1-362,ro,40.38,527.48,1280.63
1998-07-15,1998,196,live,ems,C1,C1-366,ro,34,349.71,907.92
1998-07-15,1998,196,live,ems,C2,C2-380,rm,20.36,84.84,325.57
1998-07-15,1998,196,live,ems,C2,C2-386,ro,38.25,463.4,1149.09
1998-07-15,1998,196,live,ems,D1,D1-529,rm,22.16,103.35,385.68
1998-07-15,1998,196,live,ems,D1,D1-544,ro,30.17,262.82,714.89
1998-07-15,1998,196,live,ems,D2,D2-288,hem,14.09,20.95,155.92
1998-07-15,1998,196,live,ems,D2,D2-583,rm,20.52,86.4,330.71
1998-07-15,1998,196,live,ems,E1,E1-677,hem,24.66,81.87,477.61
1998-07-15,1998,196,live,ems,E1,E1-678,hem,14.78,23.53,171.57
1998-07-15,1998,196,live,ems,E5,E5-876,hem,30.7,139.8,740.23
1998-07-15,1998,196,live,ems,E5,E5-880,ro,32.02,302.99,805.25
1998-07-15,1998,196,live,ems,E5,E5-889,hem,24.44,80.1,469.13
1998-07-15,1998,196,live,ems,E5,E5-892,rm,19.52,76.9,299.26
1998-07-15,1998,196,live,ems,E5,E5-893,hem,23.17,70.32,421.64
1998-07-15,1998,196,live,ems,E5,E5-895,rm,20.75,88.67,338.16
1998-07-15,1998,196,live,ems,E5,E5-903,ro,25.49,175.67,510.3
1998-07-15,1998,196,live,ems,E5,E5-905,hem,19.8,47.94,307.91
1998-07-15,1998,196,live,ems,F1,F1-933,rm,17.76,61.71,247.73
1998-07-15,1998,196,live,ems,G1,G1-153,rm,12.18,25.63,116.52
1998-07-15,1998,196,live,ems,G1,G1-165,rm,14.12,36.16,156.59
1998-07-15,1998,196,live,ems,G1,G1-175,ro,26.33,189.82,544.49
1998-07-15,1998,196,live,ems,G1,G1-176,rm,14.36,37.61,161.96
1998-07-15,1998,196,live,ems,H1,H1-302,ro,36.89,424.99,1068.83
1998-07-15,1998,196,live,ems,H1,H1-309,ro,33.97,348.97,906.32
1998-07-15,1998,196,live,ems,H1,H1-318,rm,20.52,86.4,330.71
1998-07-22,1998,203,live,ems,C1,C1-217,hem,27.57,107.49,596.98
1998-07-22,1998,203,live,ems,C1,C1-351,hem,19.2,44.48,289.53
